quarter,annee,department,departs_confirmes,candidats_en_cours,postes_a_lancer,turnover_month_pct,postes_ouverts_actuels,effectif_actuel
1960Q1,1960,Achats,2,12,6,7.43,6,9
1960Q1,1960,Administration,0,29,9,0.0,7,12
1960Q1,1960,Finance,0,13,4,0.0,4,13
1960Q1,1960,IT,3,6,13,3.513333333333333,15,27
1960Q1,1960,Juridique,0,26,7,0.0,8,8
1960Q1,1960,Marketing,2,17,5,4.7700000000000005,7,14
1960Q1,1960,Opérations,5,14,2,2.9,4,56
1960Q1,1960,R&D,1,8,3,1.71,4,19
1960Q1,1960,RH,0,10,2,0.0,3,9
1960Q1,1960,Support,4,8,2,5.8066666666666675,3,21
1960Q1,1960,Ventes,7,8,27,7.43,29,28
1960Q2,1960,Achats,4,45,13,19.55,14,10
1960Q2,1960,Administration,0,66,16,0.0,16,19
1960Q2,1960,Finance,2,22,4,5.333333333333333,6,13
1960Q2,1960,IT,4,56,9,4.803333333333334,17,30
1960Q2,1960,Juridique,0,40,6,0.0,11,11
1960Q2,1960,Marketing,0,25,1,0.0,5,17
1960Q2,1960,Opérations,4,18,2,2.476666666666667,5,53
1960Q2,1960,R&D,2,30,17,3.6566666666666663,18,20
1960Q2,1960,RH,2,15,7,8.61,9,8
1960Q2,1960,Support,0,46,14,0.0,12,26
1960Q2,1960,Ventes,3,107,5,3.09,17,42
1960Q3,1960,Achats,0,61,9,0.0,15,18
1960Q3,1960,Administration,2,63,9,3.5366666666666666,16,26
1960Q3,1960,Finance,2,41,9,5.246666666666667,11,15
1960Q3,1960,IT,4,84,16,4.17,21,38
1960Q3,1960,Juridique,0,43,3,0.0,8,17
1960Q3,1960,Marketing,3,33,11,6.523333333333333,9,21
1960Q3,1960,Opérations,4,13,5,2.58,8,51
1960Q3,1960,R&D,4,99,16,6.803333333333334,21,29
1960Q3,1960,RH,4,39,14,17.05,16,11
1960Q3,1960,Support,3,51,1,3.973333333333333,9,27
1960Q3,1960,Ventes,5,55,2,4.0633333333333335,11,45
1960Q4,1960,Achats,3,46,5,5.786666666666666,12,23
1960Q4,1960,Administration,3,40,1,3.953333333333333,9,31
1960Q4,1960,Finance,1,34,3,1.8033333333333335,8,20
1960Q4,1960,IT,4,70,9,3.826666666666666,20,44
1960Q4,1960,Juridique,0,29,7,0.0,10,22
1960Q4,1960,Marketing,8,29,14,15.159999999999998,19,17
1960Q4,1960,Opérations,6,90,20,3.986666666666667,18,55
1960Q4,1960,R&D,2,73,5,2.4566666666666666,18,35
1960Q4,1960,RH,2,56,2,5.81,10,17
1960Q4,1960,Support,7,81,25,9.503333333333332,23,31
1960Q4,1960,Ventes,9,36,0,7.233333333333333,6,41
1961Q1,1961,Achats,7,43,4,11.383333333333333,10,22
1961Q1,1961,Administration,3,26,4,3.0766666666666667,8,33
